No.,importValidationStatus,importValidationStartTime,importValidationEndTime,importValidationMessages,dataProcessingStatus,dataProcessingStartTime,dataProcessingEndTime,dataProcessingMessages,identityProcessingStatus,identityProcessingStartTime,identityProcessingEndTime,identityProcessingMessages,Total Number of Records Not Processed,Total Number of Identities Updated,Total Number of Identities Created,Total Number of Identities Rejected,Total Number of Records Processed,createdTimeStamp,expiresTimeStamp,httpMethod,version,signedURL
1,Failed Validation,"Monday, May 11, 2020 7:55:18 PM UTC","Monday, May 11, 2020 7:55:19 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/a1e9640dd6174adeb558fafa38ba54b4' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
2,Failed Validation,"Monday, May 11, 2020 7:07:13 PM UTC","Monday, May 11, 2020 7:07:14 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/ed2b67e90ecb4309b2478ec35607a4db' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
3,Failed Validation,"Monday, May 11, 2020 6:02:57 PM UTC","Monday, May 11, 2020 6:02:58 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/8807f9c9a7414fd8ae3c47ac665054f1' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
4,Failed Validation,"Monday, May 11, 2020 5:51:41 PM UTC","Monday, May 11, 2020 5:51:41 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/aea44bc2b106404ea7a715f34ef9127b' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
5,Failed Validation,"Monday, May 11, 2020 5:40:07 PM UTC","Monday, May 11, 2020 5:40:11 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/cd1aa165795145938126da69c6eec2cd' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
6,Failed Validation,"Monday, May 11, 2020 2:17:11 PM UTC","Monday, May 11, 2020 2:17:12 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/d5ac06452d4f4c1ebd3ab5f794076889' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
7,Failed Validation,"Monday, May 11, 2020 2:08:58 PM UTC","Monday, May 11, 2020 2:08:59 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/631533b8fcab43eebaf26715bebfb491' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
8,Failed Validation,"Sunday, May 10, 2020 9:39:17 PM UTC","Sunday, May 10, 2020 9:39:28 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/e493dab28b4d4e639f99659d4127fb1d' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
9,Failed Validation,"Sunday, May 10, 2020 9:38:45 PM UTC","Sunday, May 10, 2020 9:38:46 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/a1bb64f182dc443b8fc257d514fc139b' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
10,Failed Validation,"Sunday, May 10, 2020 9:36:03 PM UTC","Sunday, May 10, 2020 9:36:05 PM UTC","{'info': None, 'error': [""Table load unsuccessful: org.postgresql.util.PSQLException: ERROR: The specified S3 prefix '81f33638b4b04c20b993306fdefd01d1/transfers/8718/c95d25ca5b554425869c396905960bd3' does not exist""], 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}",,,,"{'info': None, 'error': None, 'warning': None}"
